Flow,Packets,Bytes,Application,Domain
52.168.117.170:443 -> 192.168.31.44:63586,42,1335,,
192.168.31.44:50145 -> 149.154.175.55:80,1,0,,
140.82.112.22:443 -> 192.168.31.44:50179,12,4423,,
140.82.112.22:443 -> 192.168.31.44:50178,8,4241,,
194.221.250.50:443 -> 192.168.31.44:50686,12,3772,,
8.8.8.8:53 -> 192.168.31.44:4450,1,221,,
192.168.31.44:50202 -> 20.207.73.82:443,16,2497,,
192.168.31.44:50688 -> 140.82.114.26:443,11,2590,,
192.168.31.44:50179 -> 140.82.112.22:443,12,1380,,
192.168.31.44:50178 -> 140.82.112.22:443,6,1427,,
192.168.31.44:50352 -> 194.221.250.50:443,15,2219,,
192.168.31.44:50177 -> 194.221.250.50:443,6,1506,,
140.82.114.26:443 -> 192.168.31.44:50165,15,3119,,
192.168.31.44:50173 -> 91.108.56.141:80,7,0,,
192.168.31.44:50693 -> 185.199.111.133:443,6,1266,,
192.168.31.44:50170 -> 149.154.167.51:443,1,0,,
192.168.31.44:50331 -> 194.221.250.50:443,9,1924,,
20.207.73.85:443 -> 192.168.31.44:50167,26,5477,,
192.168.31.44:12099 -> 8.8.8.8:53,2,96,Unknown,vscode-sync.trafficmanager.net
192.168.31.44:50167 -> 20.207.73.85:443,29,6673,,
192.168.31.44:50572 -> 149.154.167.51:443,1,0,,
192.168.31.44:50520 -> 149.154.175.55:80,1,0,,
192.168.31.44:4450 -> 8.8.8.8:53,2,100,Microsoft,mobile.events.data.microsoft.com
192.168.31.44:50147 -> 194.221.250.50:443,6,1538,,
192.168.31.44:50574 -> 149.154.167.51:80,1,0,,
192.168.31.44:50328 -> 149.154.167.92:80,1,0,,
192.168.31.44:50143 -> 149.154.175.55:443,1,0,,
192.168.31.44:50115 -> 194.221.250.50:443,9,1827,,
20.207.73.82:443 -> 192.168.31.44:50141,250,187614,,
8.8.4.4:53 -> 192.168.31.44:41203,1,104,,
192.168.31.44:50141 -> 20.207.73.82:443,126,32107,,
8.8.4.4:53 -> 192.168.31.44:38181,1,60,,
192.168.31.44:19746 -> 8.8.4.4:53,2,56,Google,dns.google
192.168.31.44:41203 -> 8.8.4.4:53,2,56,Google,dns.google
8.8.4.4:53 -> 192.168.31.44:19746,1,84,,
192.168.31.44:50123 -> 149.154.175.55:80,4,0,,
